,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
20,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-21.387552916448875+32.08151045631683j),(16.841298212742988-25.26208990905786j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.546254703705887-6.81942054725897j),0j,0j,0j,0j
21,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(16.841298212742988-25.26208990905786j),(-186.18663659320933+279.28153127315653j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(103.59950112687353-155.40012883450743j),(65.74583725359281-98.61931252959126j),0j
22,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(5697.972561978043-8547.007085897909j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-5719.271937451897+8578.956329443763j),(15.610883731446695-23.41645776958331j),(5.688491742407365-8.532785776270792j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
23,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(15.610883731446695-23.41645776958331j),(-15.610883731446695+23.41645776958331j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
24,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(5.688491742407365-8.532785776270792j),0j,(-5.688491742407365+8.532785776270792j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
25,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(10.297540774659115-15.44639834800827j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-10.297540774659115+15.44639834800827j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
26,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.1221767462893393-4.683291553916662j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-122.68619116156634+184.03032548751216j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(113.95945123956089-170.9401417179582j),(5.604563175716109-8.406892215637289j),0j,0j,0j,0j,0j,0j,0j
27,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.3192073176571126-4.978839079163831j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-125.97785330832953+188.96784657711885j),0j,0j,0j,0j,0j,0j,0j,(8.699194751111515-13.048865779996806j),0j,0j,(113.95945123956089-170.9401417179582j),0j,0j,0j,0j,0j,0j,0j,0j,0j
28,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(7.723740563436095-11.083628063726088j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-30.35789500011865+45.03505135497409j),(2.536189567646013-3.804305824583638j),(17.899390247051443-26.849236919051023j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.198574621985098-3.297880547613341j),0j,0j,0j,0j,0j,0j
29,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.536189567646013-3.804305824583638j),(-11.187376549861945+12.494761560731105j),0j,0j,0j,0j,(8.651186982215933-8.690455736147467j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
30,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(17.899390247051443-26.849236919051023j),0j,(-17.899390247051443+26.849236919051023j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
31,0j,0j,0j,0j,0j,0j,0j,(2.536189567646013-3.804305824583638j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.536189567646013+3.804305824583638j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
